,home,team_number,current_rating,potential_rating,height,weight,skill_moves,ball_control,dribbling,marking,slide_tackle,stand_tackle,aggression,reactions,att_position,interceptions,vision,composure,crossing,short_pass,long_pass,acceleration,stamina,strength,balance,sprint_speed,agility,jumping,heading,shot_power,finishing,long_shots,curve,fk_acc,penalties,volleys,gk_positioning,gk_diving,gk_handling,gk_kicking,away,team_number_2,current_rating_2,potential_rating_2,height_2,weight_2,skill_moves_2,ball_control_2,dribbling_2,marking_2,slide_tackle_2,stand_tackle_2,aggression_2,reactions_2,att_position_2,interceptions_2,vision_2,composure_2,crossing_2,short_pass_2,long_pass_2,acceleration_2,stamina_2,strength_2,balance_2,sprint_speed_2,agility_2,jumping_2,heading_2,shot_power_2,finishing_2,long_shots_2,curve_2,fk_acc_2,penalties_2,volleys_2,gk_positioning_2,gk_diving_2,gk_handling_2,gk_kicking_2,final_result
10,Austria,11,74.33333333333333,76.23809523809524,185.23809523809524,80.76190476190476,2.380952380952381,63.523809523809526,58.90476190476191,51.66666666666666,50.42857142857143,54.57142857142857,65.42857142857143,72.0952380952381,56.57142857142857,55.61904761904762,61.71428571428572,57.142857142857146,64.47619047619048,57.66666666666666,66.61904761904762,71.80952380952381,72.9047619047619,61.523809523809526,68.33333333333333,64.57142857142857,69.14285714285714,59.285714285714285,64.38095238095238,50.0,55.57142857142857,54.66666666666666,53.23809523809524,55.80952380952381,52.57142857142857,19.952380952380956,20.047619047619047,18.19047619047619,19.857142857142858,19.33333333333333,Hungary,3,70.23809523809524,72.42857142857143,184.23809523809524,79.04761904761905,2.380952380952381,63.0,57.90476190476191,47.71428571428572,46.95238095238095,48.57142857142857,61.38095238095238,67.28571428571429,56.04761904761905,49.285714285714285,53.42857142857143,56.23809523809524,62.333333333333336,56.23809523809524,65.38095238095238,64.23809523809524,69.57142857142857,62.90476190476191,65.47619047619048,62.85714285714285,64.9047619047619,57.04761904761905,59.333333333333336,51.333333333333336,51.333333333333336,51.95238095238095,47.66666666666666,55.57142857142857,49.42857142857143,16.428571428571427,15.857142857142858,16.285714285714285,15.523809523809524,16.285714285714285,2
11,Portugal,7,79.93333333333334,82.93333333333334,181.6,77.2,2.533333333333333,68.0,64.33333333333333,56.46666666666667,55.8,61.93333333333333,69.93333333333334,77.66666666666667,59.6,63.06666666666667,63.8,56.73333333333333,68.13333333333334,65.73333333333333,66.0,69.6,74.33333333333333,65.66666666666667,67.6,69.2,74.26666666666667,58.93333333333333,69.13333333333334,55.86666666666667,62.0,57.73333333333333,55.2,54.66666666666666,55.66666666666666,25.4,24.866666666666667,24.066666666666663,23.53333333333333,25.53333333333333,Iceland,15,68.27777777777777,70.72222222222223,185.44444444444449,79.16666666666667,1.9444444444444444,57.66666666666666,52.833333333333336,45.16666666666666,47.55555555555556,50.16666666666666,61.27777777777778,65.11111111111111,50.05555555555556,51.333333333333336,57.77777777777778,47.833333333333336,59.61111111111112,57.0,62.05555555555556,68.66666666666667,72.11111111111111,63.5,64.27777777777777,58.77777777777778,66.83333333333333,54.5,60.388888888888886,46.27777777777778,52.77777777777778,48.888888888888886,42.66666666666666,51.05555555555556,46.44444444444444,19.38888888888889,19.27777777777778,19.166666666666668,18.88888888888889,20.22222222222222,1
12,Russia,13,76.66666666666667,77.11111111111111,183.27777777777777,77.33333333333333,2.333333333333333,66.11111111111111,61.11111111111112,58.0,56.27777777777778,57.55555555555556,65.38888888888889,74.88888888888889,57.27777777777778,58.5,72.05555555555556,62.11111111111112,69.33333333333333,65.94444444444444,68.66666666666667,69.94444444444444,68.5,61.72222222222222,70.44444444444444,65.94444444444444,65.11111111111111,58.72222222222222,62.888888888888886,55.0,58.61111111111112,55.16666666666666,52.388888888888886,56.16666666666666,49.333333333333336,21.55555555555556,22.11111111111111,21.72222222222222,21.27777777777778,23.22222222222222,Slovakia,4,74.22222222222223,76.33333333333333,185.22222222222223,78.77777777777777,2.333333333333333,66.0,60.55555555555556,60.11111111111112,62.22222222222222,63.888888888888886,66.55555555555556,71.77777777777777,52.888888888888886,63.44444444444444,52.0,56.11111111111112,67.77777777777777,62.333333333333336,67.55555555555556,71.77777777777777,72.66666666666667,58.77777777777778,69.22222222222223,61.55555555555556,72.11111111111111,69.44444444444444,64.66666666666667,49.11111111111112,52.888888888888886,51.0,44.55555555555556,57.77777777777778,53.55555555555556,11.333333333333334,10.666666666666666,9.88888888888889,8.777777777777779,11.333333333333334,2
13,Romania,14,72.76470588235294,74.29411764705883,181.76470588235293,76.70588235294117,2.5294117647058822,62.1764705882353,55.35294117647059,45.23529411764706,45.294117647058826,46.94117647058823,58.47058823529412,72.76470588235294,56.64705882352941,50.588235294117645,59.76470588235294,54.41176470588236,61.64705882352941,57.47058823529412,67.6470588235294,67.05882352941177,69.05882352941177,64.11764705882354,68.17647058823529,67.11764705882354,64.47058823529412,56.94117647058823,60.35294117647059,53.52941176470589,56.52941176470589,54.88235294117647,52.23529411764706,54.70588235294117,51.05882352941177,22.764705882352946,22.11764705882353,21.352941176470587,22.94117647058824,21.94117647058824,Switzerland,6,75.26086956521739,79.21739130434783,183.8695652173913,79.65217391304348,2.260869565217391,65.56521739130434,60.26086956521739,52.17391304347826,54.0,56.95652173913044,66.6086956521739,73.26086956521739,58.34782608695652,57.82608695652174,62.130434782608695,58.130434782608695,67.73913043478261,62.91304347826087,66.52173913043478,70.47826086956522,75.56521739130434,64.04347826086956,69.56521739130434,65.91304347826087,68.95652173913044,60.04347826086956,65.47826086956522,50.21739130434783,53.82608695652174,54.69565217391305,50.78260869565217,55.869565217391305,51.78260869565217,18.52173913043478,20.217391304347824,19.73913043478261,18.17391304347826,21.30434782608696,1
14,France,5,81.04545454545455,83.0909090909091,181.95454545454547,77.13636363636364,2.5,69.27272727272727,65.27272727272727,53.5,56.18181818181818,57.54545454545455,69.0,78.95454545454545,59.22727272727273,61.09090909090909,63.22727272727273,61.45454545454545,69.68181818181819,64.45454545454545,73.0909090909091,73.5,74.22727272727273,65.63636363636364,73.27272727272727,69.68181818181819,76.9090909090909,64.45454545454545,68.95454545454545,54.13636363636363,59.95454545454545,59.13636363636363,53.86363636363637,56.54545454545455,56.54545454545455,18.863636363636363,19.727272727272727,19.227272727272727,17.727272727272727,19.63636363636364,Albania,16,69.16666666666667,72.33333333333333,179.91666666666666,75.0,2.1666666666666665,60.16666666666666,55.083333333333336,56.41666666666666,57.0,60.16666666666666,68.83333333333333,66.5,53.25,58.91666666666666,55.16666666666666,53.16666666666666,59.75,56.66666666666666,65.66666666666667,70.91666666666667,69.66666666666667,62.333333333333336,69.33333333333333,62.583333333333336,66.91666666666667,54.75,62.333333333333336,44.75,50.583333333333336,47.91666666666666,44.41666666666666,50.833333333333336,43.25,17.416666666666668,16.5,15.75,15.666666666666666,17.666666666666668,0
15,England,2,78.83333333333333,82.58333333333333,183.04166666666663,76.29166666666667,2.5416666666666665,69.375,67.70833333333333,53.66666666666666,55.833333333333336,58.375,67.375,77.0,61.91666666666666,56.54166666666666,66.45833333333333,60.75,69.95833333333333,63.375,74.0,74.75,72.45833333333333,64.54166666666667,74.625,70.04166666666667,71.125,62.0,68.33333333333333,55.41666666666666,61.375,55.75,50.708333333333336,60.0,54.54166666666666,19.0,17.708333333333332,19.75,18.75,19.375,Wales,1,73.05263157894737,75.36842105263158,180.6315789473684,76.57894736842105,2.3684210526315788,66.3157894736842,63.1578947368421,53.78947368421053,53.0,56.526315789473685,60.526315789473685,69.94736842105263,57.47368421052632,55.31578947368421,63.578947368421055,58.26315789473684,66.36842105263158,63.0,68.26315789473684,69.57894736842105,68.63157894736842,68.42105263157895,65.57894736842105,66.36842105263158,69.10526315789474,57.26315789473684,60.47368421052632,52.8421052631579,55.1578947368421,54.36842105263158,46.0,56.578947368421055,48.10526315789474,17.0,17.157894736842106,17.31578947368421,17.0,15.894736842105264,0
16,Ukraine,19,73.42857142857143,78.57142857142857,184.14285714285717,75.42857142857143,2.0,49.85714285714285,46.285714285714285,44.142857142857146,44.42857142857143,45.85714285714285,54.0,71.42857142857143,41.85714285714285,49.85714285714285,57.71428571428572,44.57142857142857,55.285714285714285,53.42857142857143,62.0,60.142857142857146,66.85714285714286,58.71428571428572,60.57142857142857,62.285714285714285,67.14285714285714,40.71428571428572,50.285714285714285,38.85714285714285,45.57142857142857,43.142857142857146,45.0,40.142857142857146,38.0,36.57142857142857,39.42857142857143,34.142857142857146,33.714285714285715,38.142857142857146,Northern Ireland,0,68.47619047619048,70.9047619047619,181.42857142857144,75.95238095238095,2.1904761904761907,62.142857142857146,55.47619047619048,51.47619047619048,51.0,54.47619047619048,62.76190476190476,64.80952380952381,49.285714285714285,51.90476190476191,53.71428571428572,50.85714285714285,58.90476190476191,54.142857142857146,64.66666666666667,69.80952380952381,67.23809523809524,65.52380952380952,63.61904761904762,62.57142857142857,65.95238095238095,56.61904761904762,56.66666666666666,47.61904761904762,46.76190476190476,45.38095238095238,43.80952380952381,49.71428571428572,46.095238095238095,15.666666666666666,16.285714285714285,15.61904761904762,15.0,17.142857142857142,2
17,Germany,17,81.65217391304348,85.3913043478261,185.95652173913044,81.17391304347827,2.565217391304348,70.82608695652173,66.95652173913044,48.391304347826086,52.69565217391305,53.69565217391305,62.26086956521739,81.47826086956522,61.30434782608695,58.73913043478261,72.52173913043478,60.95652173913044,74.1304347826087,68.95652173913044,68.52173913043478,68.82608695652173,74.65217391304348,62.08695652173913,70.1304347826087,67.95652173913044,71.04347826086956,63.95652173913044,67.1304347826087,56.869565217391305,59.08695652173913,60.60869565217392,53.130434782608695,59.43478260869565,58.82608695652174,19.565217391304348,19.695652173913043,19.695652173913043,20.26086956521739,20.217391304347824,Poland,20,73.91304347826087,76.30434782608695,184.43478260869568,78.52173913043478,2.217391304347826,63.391304347826086,60.34782608695652,49.56521739130435,50.21739130434783,54.0,64.3913043478261,70.0,55.17391304347826,56.17391304347826,60.43478260869565,54.47826086956522,63.60869565217392,62.17391304347826,66.17391304347827,67.8695652173913,71.47826086956522,61.91304347826087,65.30434782608695,64.47826086956522,70.65217391304348,57.52173913043478,61.65217391304348,47.08695652173913,54.47826086956522,52.78260869565217,46.56521739130435,51.26086956521739,47.43478260869565,19.30434782608696,20.47826086956522,18.73913043478261,17.782608695652176,20.52173913043478,1
18,Italy,12,80.21739130434783,81.82608695652173,183.34782608695653,77.6086956521739,2.4782608695652173,69.3913043478261,65.78260869565217,50.47826086956522,54.56521739130435,54.869565217391305,66.95652173913044,77.73913043478261,58.95652173913044,56.0,64.21739130434783,57.95652173913044,67.65217391304348,62.0,71.73913043478261,72.21739130434783,71.82608695652173,68.43478260869566,72.73913043478261,71.73913043478261,71.26086956521739,62.08695652173913,68.47826086956522,52.869565217391305,61.69565217391305,60.43478260869565,51.43478260869565,58.34782608695652,59.391304347826086,17.82608695652174,18.26086956521739,16.434782608695652,16.73913043478261,17.82608695652174,Sweden,10,74.31818181818181,76.81818181818181,186.72727272727272,81.0909090909091,2.409090909090909,65.5,60.13636363636363,49.54545454545455,50.0,54.0,67.36363636363636,72.9090909090909,56.40909090909091,52.77272727272727,61.72727272727273,53.59090909090909,65.54545454545455,61.22727272727273,59.95454545454545,70.54545454545455,74.68181818181819,55.04545454545455,63.40909090909091,62.45454545454545,64.86363636363636,58.45454545454545,68.0,53.13636363636363,58.86363636363637,56.90909090909091,53.72727272727273,56.95454545454545,53.81818181818182,18.63636363636364,18.863636363636363,17.772727272727273,17.681818181818183,19.545454545454547,0
19,Czech Republic,22,73.76190476190476,75.42857142857143,184.1904761904762,77.80952380952381,2.380952380952381,65.57142857142857,62.42857142857143,44.142857142857146,46.85714285714285,48.095238095238095,62.47619047619048,71.14285714285714,58.523809523809526,52.57142857142857,62.61904761904762,60.19047619047619,64.9047619047619,62.47619047619048,63.76190476190476,66.47619047619048,68.33333333333333,64.61904761904762,64.95238095238095,63.61904761904762,68.57142857142857,58.38095238095238,62.0,53.85714285714285,57.285714285714285,56.71428571428572,56.66666666666666,59.95238095238095,55.523809523809526,20.904761904761905,20.33333333333333,19.23809523809524,20.047619047619047,20.33333333333333,Croatia,18,78.5625,80.6875,183.75,77.0625,2.875,75.375,70.6875,50.5625,55.0625,56.375,70.0,77.9375,68.0625,57.4375,69.75,67.875,72.5625,66.25,70.8125,75.0625,70.75,65.375,71.5625,70.75,69.8125,62.5,71.6875,61.25,64.8125,66.0625,63.9375,65.3125,63.6875,14.625,15.25,13.9375,14.9375,14.3125,1
20,Spain,23,82.46666666666667,84.13333333333334,178.73333333333332,72.73333333333333,3.0,78.06666666666666,72.53333333333333,55.86666666666667,58.2,62.2,65.26666666666667,81.66666666666667,69.06666666666666,65.2,73.26666666666667,69.4,78.73333333333333,73.46666666666667,71.46666666666667,74.93333333333334,68.2,72.13333333333334,69.73333333333333,73.66666666666667,70.93333333333334,60.13333333333333,68.73333333333333,63.333333333333336,65.2,70.26666666666667,64.4,62.86666666666667,59.2,14.2,13.533333333333331,15.133333333333333,13.8,14.8,Turkey,8,75.91304347826087,78.30434782608695,180.43478260869568,74.73913043478261,2.565217391304348,69.08695652173913,67.52173913043478,49.34782608695652,51.04347826086956,54.91304347826087,65.6086956521739,73.69565217391305,62.34782608695652,57.04347826086956,64.6086956521739,61.391304347826086,67.47826086956522,63.73913043478261,71.8695652173913,69.78260869565217,65.21739130434783,68.08695652173913,71.47826086956522,73.43478260869566,69.21739130434783,56.52173913043478,67.43478260869566,56.869565217391305,61.26086956521739,61.21739130434783,56.30434782608695,55.30434782608695,57.78260869565217,18.869565217391305,19.43478260869565,19.0,18.17391304347826,19.956521739130437,0
21,Belgium,21,79.72727272727273,82.04545454545455,184.72727272727272,78.77272727272727,2.8181818181818183,70.72727272727273,67.18181818181819,48.18181818181818,50.0,53.13636363636363,66.77272727272727,78.0,63.31818181818182,51.86363636363637,65.86363636363636,61.22727272727273,70.18181818181819,64.4090909090909,72.63636363636364,72.27272727272727,76.36363636363636,63.27272727272727,74.5,71.54545454545455,73.86363636363636,62.59090909090909,74.27272727272727,60.63636363636363,64.45454545454545,58.04545454545455,55.31818181818182,62.36363636363637,58.81818181818182,19.545454545454547,19.954545454545453,19.59090909090909,18.63636363636364,20.772727272727277,Republic of Ireland,9,74.08695652173913,75.04347826086956,182.3913043478261,77.52173913043478,2.565217391304348,65.73913043478261,60.73913043478261,53.56521739130435,53.26086956521739,55.43478260869565,68.3913043478261,72.47826086956522,57.869565217391305,56.82608695652174,61.47826086956522,58.52173913043478,66.52173913043478,60.78260869565217,63.69565217391305,70.8695652173913,71.17391304347827,64.3913043478261,64.8695652173913,67.52173913043478,68.26086956521739,59.30434782608695,62.47826086956522,53.21739130434783,53.04347826086956,54.130434782608695,48.73913043478261,58.0,53.130434782608695,19.956521739130437,18.782608695652176,19.39130434782609,19.39130434782609,19.956521739130437,0
